,Neighborhood,Latitude,Longitude
143,South Rose Hill,47.6290964,-122.3320002
144,North Rose Hill,47.6290964,-122.3320002
145,Highlands,47.69814925,-122.32626071251272
146,Norkirk,47.69814925,-122.32626071251272
147,Totem Lake,47.600733,-122.33325
148,Market,47.6038321,-122.3300624
149,Kennydale,47.5025959,-122.2028005
150,Valley,47.6038321,-122.3300624
151,West Hill,47.6038321,-122.3300624
152,Fairwood,47.4155808,-122.15272526549587
153,Cedar River,47.37570685,-121.96180939523343
154,City Center,47.6038321,-122.3300624
155,Benson,47.653009350000005,-122.30953355147014
156,Talbot,47.614876,-122.3454892
157,East Plateau,47.614876,-122.3454892
158,Highlands,47.69814925,-122.32626071251272
159,West Bellevue,47.5840088,-122.14088865484513
160,Wilburton,47.5840088,-122.14088865484513
161,Woodridge,47.5863292,-122.1872448
162,Newport,47.6038321,-122.3300624
163,Somerset,47.8241777,-122.3676569
164,Bridle Trails,47.8241777,-122.3676569
165,Northeast Bellevue,47.5840088,-122.14088865484513
166,Crossroads,47.82025995,-122.31759200733651
167,West Lake Hills,14.6696779,121.0988312
168,Factoria,47.5863292,-122.1872448
169,Northwest Bellevue,47.5840088,-122.14088865484513
170,Sammamish - East Lake HillS,47.5840088,-122.14088865484513
171,Eastgate - Cougar Mountain,47.5840088,-122.14088865484513
172,Vashon Island,47.537053,-122.3898768
173,White Center,47.528788649999996,-122.33060661187038
174,Upper West Ridge,47.528788649999996,-122.33060661187038
